DOI,Cited_in_proteins,Protein_page
10.1002##1873-3468.14136,yes,nTMATE2-transporter
10.1002##anie.201302374,yes,opsin-gpcr
10.1002##anie.202115545,yes,a2a-star2;a2a-adenosine-receptor
10.1002##pro.215,yes,zntb-transporter
10.1006##jmbi.1994.0097,yes,rps-viridis-reaction-center
10.1007##s10969-013-9154-x,yes,acrB
10.1016##J.CELL.2010.05.003,yes,kirbac
10.1016##J.FEBSLET.2005.09.061,yes,adenine-nucleotide-transporter
10.1016##J.JMB.2004.08.090,yes,bovine-rhodopsin
10.1016##J.JMB.2007.03.007,yes,bovine-rhodopsin
10.1016##J.JMB.2008.04.017,yes,porb-porin
10.1016##J.JMB.2009.04.001,yes,mexb
10.1016##J.JMB.2009.05.082,yes,c-ring-rotor
10.1016##J.MOLCEL.2011.10.020,yes,icmt
10.1016##J.STR.2012.03.014,yes,beta1ar-biased-agonists
10.1016##J.STR.2014.12.012,yes,peptso
10.1016##S0022-2836(03)00024-X,yes,lh2-rps-acidophila
10.1016##S0969-2126(99)80118-X,yes,bacteriorhodopsin-19a
10.1016##j.bbabio.2013.11.015,yes,rps-viridis-reaction-center
10.1016##j.bbabio.2023.148986,yes,psi-lhci-supercomplex
10.1016##j.bbrc.2019.12.091,yes,etb-receptor
10.1016##j.bbrc.2020.11.096,yes,sotb
10.1016##j.bbrc.2023.149393,yes,a2a-adenosine-receptor
10.1016##j.bcp.2022.115291,yes,p2y12-receptor
10.1016##j.cell.2014.01.011,yes,asic1a
10.1016##j.cell.2015.04.011,yes,angiotensin-ii-type-1-receptor
10.1016##j.cell.2015.06.002,yes,lpa1-receptor
10.1016##j.cell.2016.09.056,yes,cd81-tetraspanin
10.1016##j.cell.2016.12.033,yes,5ht2b-receptor
10.1016##j.cell.2017.01.042,yes,adenosine-a1-receptor
10.1016##j.cell.2017.03.010,yes,lb-semisweet
10.1016##j.cell.2017.03.019,yes,mce-proteins
10.1016##j.cell.2017.12.011,yes,kappa-opioid-receptor
10.1016##j.cell.2018.11.025,yes,adenine-nucleotide-transporter
10.1016##j.cell.2018.12.006,yes,angiotensin-ii-type-1-receptor
10.1016##j.cell.2019.01.003,yes,mmpL3
10.1016##j.cell.2019.06.031,yes,navab-sodium-channel
10.1016##j.cell.2020.01.008,yes,cb1-receptor;cb2-receptor
10.1016##j.cell.2020.03.045,yes,ace2;sars-cov-2-s-ctd
10.1016##j.cell.2021.11.001,yes,m1-muscarinic-receptor
